,Player,Hall_of_Fame,Awards,All_Star,Championships,All_Nbas
268,Mo Mahoney,FALSE,0,0,0,0
269,Al Masino,FALSE,0,0,0,0
270,Jack McCloskey,FALSE,0,0,0,0
271,Bucky McConnell,FALSE,0,0,0,0
272,George McLeod,FALSE,0,0,0,0
273,Jack McMahon,FALSE,0,0,1,0
274,Monk Meineke,FALSE,1,0,0,0
275,Eddie Miller,FALSE,0,0,0,0
276,Bill Mlkvy,FALSE,0,0,0,0
277,Jim Mooney,FALSE,0,0,0,0
278,Bob Naber,FALSE,0,0,0,0
279,John O'Boyle,FALSE,0,0,0,0
280,Mike O'Neill,FALSE,0,0,0,0
281,Claude Overton,FALSE,0,0,0,0
282,Ralph Polson,FALSE,0,0,0,0
283,Bob Priddy,FALSE,0,0,0,0
284,Moe Radovich,FALSE,0,0,0,0
285,Sherwin Raiken,FALSE,0,0,0,0
286,Gene Rhodes,FALSE,0,0,0,0
287,Dick Surhoff,FALSE,0,0,0,0
288,Mark Workman,FALSE,0,0,0,0
289,Zeke Zawoluk,FALSE,0,0,0,0
290,Don Ackerman,FALSE,0,0,0,0
291,Don Asmonga,FALSE,0,0,0,0
292,Ernie Barrett,FALSE,0,0,0,0
293,Ernie Beck,FALSE,0,0,1,0
294,Irv Bemoras,FALSE,0,0,0,0
295,Bill Bolger,FALSE,0,0,0,0
296,Walt Davis,TRUE,1,1,0,1
297,Gene Dyker,FALSE,0,0,0,0
298,Ed Earle,FALSE,0,0,0,0
299,Ray Felix,FALSE,1,1,0,0
300,Jim Fritsche,FALSE,0,0,0,0
301,Jack George,FALSE,0,1,1,1
302,Bato Govedarica,FALSE,0,0,0,0
303,Norm Grekin,FALSE,0,0,0,0
304,Rollen Hans,FALSE,0,0,0,0
305,Billy Kenville,FALSE,0,0,1,0
306,Dick Knostman,FALSE,0,0,0,0
307,Jim Luisi,FALSE,0,0,0,0
308,Jack Molinas,FALSE,0,1,0,0
309,Jim Neal,FALSE,0,0,0,0
310,Paul Nolen,FALSE,0,0,0,0
311,Bob Peterson,FALSE,0,0,0,0
312,James Phelan,FALSE,0,0,0,0
313,Connie Rea,FALSE,0,0,0,0
314,Frank Reddout,FALSE,0,0,0,0
315,Al Roges,FALSE,0,0,0,0
316,Ed Smith,FALSE,0,0,0,0
317,Joe Smyth,FALSE,0,0,0,0
318,Don Sunderlage,FALSE,0,1,0,0
319,Norm Swanson,FALSE,0,0,0,0
320,Hal Uplinger,FALSE,0,0,0,0
321,Isaac Walthour,FALSE,0,0,0,0
322,Don Anielak,FALSE,0,0,0,0
323,Tom Brennan,FALSE,0,0,0,0
324,Bob Carney,FALSE,0,0,0,0
325,Fred Christ,FALSE,0,0,0,0
326,Bert Cook,FALSE,0,0,0,0
327,Larry Costello,TRUE,0,1,1,1
328,George Dempsey,FALSE,0,0,1,0
329,Fred Diute,FALSE,0,0,0,0
330,Dick Farley,FALSE,0,0,1,0
331,Chuck Grigsby,FALSE,0,0,0,0
332,Herm Hedderick,FALSE,0,0,0,0
333,Ed Kalafat,FALSE,0,0,0,0
334,Mike Kearns,FALSE,0,0,0,0
335,Red Kerr,FALSE,0,1,1,0
336,Dan King,FALSE,0,0,0,0
337,Bob Knight,FALSE,0,0,0,0
338,Ronnie MacGilvray,FALSE,0,0,0,0
339,Tom Marshall,FALSE,0,0,0,0
340,Phil Martin,FALSE,0,0,0,0
341,Ken McBride,FALSE,0,0,0,0
342,Carl McNulty,FALSE,0,0,0,0
343,Jackie Moore,FALSE,0,0,1,0
344,Red Morrison,FALSE,0,0,0,0
345,Boris Nachamkin,FALSE,0,0,0,0
346,Togo Palazzi,FALSE,0,0,0,0
347,Dick Rosenthal,FALSE,0,0,0,0
348,Frank Selvy,FALSE,0,1,0,0
349,Gene Shue,FALSE,0,1,0,1
350,Art Spoelstra,FALSE,0,0,0,0
351,Jim Tucker,FALSE,0,0,1,0
352,Jack Turner,FALSE,0,0,0,0
353,Jack Turner,FALSE,0,0,0,0
354,Bobby Watson,FALSE,0,0,0,0
355,Skippy Whitaker,FALSE,0,0,0,0
356,Jesse Arnelle,FALSE,0,0,0,0
357,Dick Atha,FALSE,0,0,0,0
358,Don Bielke,FALSE,0,0,0,0
359,Ed Conlin,FALSE,0,0,0,0
360,Red Davis,FALSE,0,0,0,0
361,Corky Devlin,FALSE,0,0,0,0
362,Walter Dukes,FALSE,0,1,0,0
363,Ron Feiereisel,FALSE,0,0,0,0
364,Al Ferrari,FALSE,0,0,0,0
365,Ed Fleming,FALSE,0,0,0,0
366,Dick Garmaker,FALSE,0,1,0,1
367,Chris Harris,FALSE,0,0,0,0
368,Dick Hemric,FALSE,0,0,1,0
369,Larry Hennessy,FALSE,0,0,1,0
370,Johnny Horan,FALSE,0,0,0,0
371,Jim Loscutoff,FALSE,0,0,1,0
372,Chuck Mencel,FALSE,0,0,0,0
373,Chuck Noble,FALSE,0,1,0,0
374,Med Park,FALSE,0,0,1,0
375,Richie Regan,FALSE,0,1,0,0
376,Dick Ricketts,FALSE,0,0,0,0
377,Bob Santini,FALSE,0,0,0,0
378,Bob Schafer,FALSE,0,0,0,0
379,Kenny Sears,FALSE,0,1,0,0
380,Jack Stephens,FALSE,0,0,0,0
381,Bob Williams,FALSE,0,0,0,0
382,Forest Able,FALSE,0,0,0,0
383,Bob Armstrong,FALSE,0,0,0,0
384,John Barber,FALSE,0,0,0,0
385,Gary Bergen,FALSE,0,0,0,0
386,Al Bianchi,FALSE,0,0,0,0
387,Bob Burrow,FALSE,0,0,0,0
388,Si Green,FALSE,0,0,0,0
389,Joe Holup,FALSE,0,0,0,0
390,Bob Hopkins,FALSE,0,0,0,0
391,Phil Jordon,FALSE,0,0,0,0
392,Hal Lear,FALSE,0,0,0,0
393,Johnny McCarthy,FALSE,0,0,1,0
394,Willie Naulls,FALSE,0,1,1,0
395,Jim Paxson,FALSE,0,1,0,1
396,Jim Paxson,FALSE,0,1,0,1
397,Dave Piontek,FALSE,0,0,0,0
398,Jim Ray,FALSE,0,0,0,0
399,Ron Shavlik,FALSE,0,0,0,0
400,Ron Sobie,FALSE,0,0,0,0
401,Norm Stewart,FALSE,0,0,0,0
402,Bill Thieben,FALSE,0,0,0,0
403,Lou Tsioropoulos,FALSE,0,0,1,0
404,Doug Bolstorff,FALSE,0,0,0,0
405,George Brown,FALSE,0,0,0,0
406,Dick Duckett,FALSE,0,0,0,0
407,Pat Dunn,FALSE,0,0,0,0
408,Bill Ebben,FALSE,0,0,0,0
409,Bo Erias,FALSE,0,0,0,0
410,Larry Friend,FALSE,0,0,0,0
411,McCoy Ingram,FALSE,0,0,0,0
412,Jim Krebs,FALSE,0,0,0,0
413,Brendan McCann,FALSE,0,0,0,0
414,Worthy Patterson,FALSE,0,0,0,0
415,Jerry Paulson,FALSE,0,0,0,0
416,Ray Radziszewski,FALSE,0,0,0,0
417,Lennie Rosenbluth,FALSE,0,0,0,0
418,Woody Sauldsberry,FALSE,1,1,1,0
419,Guy Sparrow,FALSE,0,0,0,0
420,Charlie Tyra,FALSE,0,0,0,0
421,Jim Walsh,FALSE,0,0,0,0
422,Win Wilfong,FALSE,0,0,1,0
423,Jerry Bird,TRUE,1,1,1,17
424,Bucky Bockhorn,FALSE,0,0,0,0
425,Pete Brennan,FALSE,0,0,0,0
426,Barney Cable,FALSE,0,0,0,0
427,Archie Dees,FALSE,0,0,0,0
428,Connie Dierking,FALSE,0,0,0,0
429,Boo Ellis,FALSE,0,0,0,0
430,Mike Farmer,FALSE,0,0,0,0
431,Dave Gambee,FALSE,0,0,1,0
432,Steve Hamilton,FALSE,0,0,0,0
433,Vern Hatton,FALSE,0,0,0,0
434,Andy Johnson,FALSE,0,0,0,0
435,Tommy Kearns,FALSE,0,0,0,0
436,Shellie McMillon,FALSE,0,0,0,0
437,Jim Palmer,FALSE,0,0,0,0
438,Jack Parr,FALSE,0,0,0,0
439,Hub Reed,FALSE,0,0,0,0
440,Phil Rollins,FALSE,0,0,0,0
441,Larry Staverman,FALSE,0,0,0,0
442,Bennie Swain,FALSE,0,0,1,0
443,Gary Alcorn,FALSE,0,0,0,0
444,Bob Anderegg,FALSE,0,0,0,0
445,Dick Barnett,TRUE,0,1,1,0
446,Whitey Bell,FALSE,0,0,0,0
447,Bob Ferry,FALSE,0,0,0,0
448,Johnny Green,FALSE,0,1,0,0
449,Gene Guarilia,FALSE,0,0,4,0
450,Tom Hawkins,FALSE,0,0,0,0
451,Maury King,FALSE,0,0,0,0
452,Rudy LaRusso,FALSE,0,1,0,1
453,Nick Mantis,FALSE,0,0,0,0
454,Cal Ramsey,FALSE,0,0,0,0
455,John Richter,FALSE,0,0,1,0
456,Joe Ruklick,FALSE,0,0,0,0
457,Bobby Smith,FALSE,0,0,0,0
458,Wayne Stevens,FALSE,0,0,0,0
459,Tony Windis,FALSE,0,0,0,0
460,Al Attles,TRUE,0,0,0,0
461,Bob Boozer,FALSE,0,1,1,0
462,Dave Budd,FALSE,0,0,0,0
463,Ralph Davis,FALSE,0,0,0,0
464,Swede Halbrook,FALSE,0,0,0,0
465,Darrall Imhoff,FALSE,0,1,0,0
466,Ron Johnson,FALSE,0,0,0,0
467,Howie Jolliff,FALSE,0,0,0,0
468,Willie Jones,FALSE,0,0,0,0
469,Pickles Kennedy,FALSE,0,0,0,0
470,Fred LaCour,FALSE,0,0,0,0
471,George Lee,FALSE,0,0,0,0
472,Bob McNeill,FALSE,0,0,0,0
473,Jackie Moreland,FALSE,0,0,0,0
474,Don Ohl,FALSE,0,1,0,0
475,Joe Roberts,FALSE,0,0,0,0
476,Stacey Arceneaux,FALSE,0,0,0,0
477,George Blaney,FALSE,0,0,0,0
478,Joe Buckhalter,FALSE,0,0,0,0
479,Cleveland Buckner,FALSE,0,0,0,0
480,Ed Burton,FALSE,0,0,0,0
481,Donnie Butcher,FALSE,0,0,0,0
482,Al Butler,FALSE,0,0,0,0
483,Howie Carl,FALSE,0,0,0,0
484,Jimmy Darrow,FALSE,0,0,0,0
485,Johnny Egan,FALSE,0,0,0,0
486,Rich Eichhorst,FALSE,0,0,0,0
487,Cleo Hill,FALSE,0,0,0,0
488,Ron Horn,FALSE,0,0,0,0
489,Doug Kistler,FALSE,0,0,0,0
490,York Larese,FALSE,0,0,0,0
491,Ted Luckenbill,FALSE,0,0,0,0
492,Whitey Martin,FALSE,0,0,0,0
493,Tom Meschery,FALSE,0,1,0,0
494,Paul Neumann,FALSE,0,0,0,0
495,Bevo Nordmann,FALSE,0,0,0,0
496,Chuck Osborne,FALSE,0,0,0,0
497,Gary Phillips,FALSE,0,0,1,0
498,Frank Radovich,FALSE,0,0,0,0
499,Ray Scott,FALSE,0,0,0,0
500,Lee Shaffer,FALSE,0,1,0,0
501,Bob Sims,FALSE,0,0,0,0
502,Adrian Smith,FALSE,1,1,0,0
503,Bill Smith,FALSE,0,0,0,0
504,Sam Stith,FALSE,0,0,0,0
505,Horace Walker,FALSE,0,0,0,0
506,Bob Wiesenhahn,FALSE,0,0,0,0
507,Wayne Yates,FALSE,0,0,0,0
508,Dave Zeller,FALSE,0,0,0,0
509,John Barnhill,FALSE,0,0,1,0
510,Bill Bridges,FALSE,0,1,1,1
511,Len Chappell,FALSE,0,1,0,0
512,Johnny Cox,FALSE,0,0,0,0
513,Terry Dischinger,FALSE,1,1,0,1
514,Danny Doyle,FALSE,0,0,0,0
515,Bob Duffy,FALSE,0,0,0,0
516,Bob Duffy,FALSE,0,0,0,0
517,Leroy Ellis,FALSE,0,0,1,0
518,Dave Fedor,FALSE,0,0,0,0
519,Jack Foley,FALSE,0,0,0,0
520,Dave Gunther,FALSE,0,0,0,0
521,Charlie Hardnett,FALSE,0,0,0,0
522,Wayne Hightower,FALSE,0,1,0,0
523,Paul Hogue,FALSE,0,0,0,0
524,Kevin Loughery,FALSE,0,0,0,0
525,Bill McGill,FALSE,0,0,0,0
526,Porter Meriwether,FALSE,0,0,0,0
527,Howie Montgomery,FALSE,0,0,0,0
528,Mel Nowell,FALSE,0,0,0,0
529,Bud Olsen,FALSE,0,0,0,0
530,John Rudometkin,FALSE,0,0,0,0
531,Jeff Slade,FALSE,0,0,0,0
532,Tom Stith,FALSE,0,0,0,0
533,Dan Swartz,FALSE,0,0,1,0
534,Dan Tieman,FALSE,0,0,0,0
535,Gene Tormohlen,FALSE,0,0,0,0
536,Chico Vaughn,FALSE,0,1,1,0
